source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,bp_rp,radial_velocity,radial_velocity_error,phot_variable_flag,teff_val,a_g_val
1360235560190381440,260.153248551189,0.12834672886238674,42.88751465661018,0.14078669134414393,19.011455135871767,0.14992091734159213,-123.42720200111508,24.666079312850705,18.427536,0.97925186,,,"NOT_AVAILABLE",,
1360158216421280768,258.7870320453482,0.02986641657960308,42.312124682085546,0.037140729389804415,25.350857600011693,0.038201603219243305,188.14907868551424,-25.618003945919305,14.127357,2.6755943,,,"NOT_AVAILABLE",3798.0024,0.166
1360231368302279808,260.2071483198907,0.25035083902368493,42.820813105467884,0.2714330303835966,11.628473254327908,0.3054000067813598,16.495334362337115,1.8995376164940967,19.088219,3.3621483,,,"NOT_AVAILABLE",,
1360195977773912576,259.45630505505073,0.017100994912013084,42.78096250288459,0.01775942501647302,6.02922875178685,0.019558693947112342,-31.754449371026443,61.77293934033496,11.249885,1.0941744,-18.256941054906193,1.0738583919515918,"NOT_AVAILABLE",5080.595,0.503
1360196939846587136,259.57237429637513,0.018330124248735383,42.88627183049257,0.018764443364139537,7.213591577445401,0.019962384640914623,-0.8338542524396901,-34.45370028760995,9.822541,0.78330326,-16.683133693633287,0.27202592736967285,"NOT_AVAILABLE",5915.1997,0.22
1360193194635101184,259.37597705394865,0.02160176410609574,42.67615655528962,0.021129970035796485,12.872782156669937,0.02433258957565883,-49.44113790144511,91.34052475174553,11.14925,1.3810425,-66.2867464306959,0.3816055562979133,"NOT_AVAILABLE",4639.877,0.306
1360298880894527616,260.0541122093126,0.023676688605248044,43.10480895153877,0.029082270588787894,8.503743177062926,0.027456933348579123,34.6989844991387,-3.743150966953917,12.266692,1.501277,-3.009062372729912,1.4378759561895478,"NOT_AVAILABLE",4579.48,
1360176495802119040,258.6058300671802,0.01691910037348188,42.50799354560557,0.019674740111055557,5.321927817902226,0.021123169386987384,16.35234209897237,-5.247993116041972,12.869379,1.291894,-8.555601770055258,1.4238093576093345,"NOT_AVAILABLE",4767.3066,0.224
1360177079917670528,258.7031585653312,0.06926962405287951,42.57038676095739,0.07271481386264073,6.0652483798920045,0.07252035990066835,40.428337252542896,-35.89349519269048,13.201113,,,,"NOT_AVAILABLE",,
1360177079917670784,258.70358402316594,0.020937293073675062,42.570857965909354,0.02252828145526205,6.163978465631823,0.023939258426871016,40.37637117863824,-36.80889076224649,10.987727,1.0754786,5.718465263718008,0.43382068568939147,"NOT_AVAILABLE",5001.2725,0.608
1360163198583364352,258.6997441449268,0.10395698823313272,42.42119800940134,0.14210973805578456,6.200149026397283,0.13894770142293184,-30.268046871362042,-6.64079286831427,18.107609,3.1473198,,,"NOT_AVAILABLE",,
1360154608648898944,259.6688991365221,0.07190208353278076,42.82965590085512,0.08093394496519155,5.401395766601107,0.0822004177496583,21.03646850504741,-10.746249672387503,17.27196,2.78117,,,"NOT_AVAILABLE",,
1360298885189532928,260.0543423569351,0.029064650735542995,43.10446832145202,0.02847653600766945,8.540183869197334,0.028406090811884024,34.195000607132926,-4.6067515966945765,13.046221,,,,"NOT_AVAILABLE",,
1360200478899655040,259.46264888706725,0.0219368319226109,42.89659839107508,0.02307227936050045,7.959324170731061,0.02542897082719917,40.427681001021924,18.16237765409582,13.274131,1.946619,-6.608772167169656,2.2495856252394475,"NOT_AVAILABLE",4010.3052,
1360300293938809088,260.046201816477,0.09972453762773624,43.18067406978041,0.1307391296844679,5.696389767985643,0.11685295942359183,-10.317570040307428,3.624844242061233,17.624928,3.3071938,,,"NOT_AVAILABLE",,
1360162717547023616,258.7402551382531,0.05880429251889103,42.4059694348353,0.06757722415275376,8.592899631515918,0.07407062787859366,23.59700831790145,23.679609186999485,16.581312,2.7696505,,,"NOT_AVAILABLE",3851.4224,0.2403
1360255351401012224,260.30390994559303,0.06794069068079306,43.09105161852739,0.07589623151859144,5.000138522266701,0.07528646616823212,0.0619967498884364,-8.655467417018045,17.28072,2.6987896,,,"NOT_AVAILABLE",,
1360173192970270976,259.1124853475616,0.021758475951861436,42.65644192627764,0.023745484799913192,14.059674773438035,0.025768509420123396,-4.392941599831993,55.43737956509784,12.087542,1.7706652,-26.99904860232373,0.6910491048211119,"NOT_AVAILABLE",4229.5,0.441
1360171960316701568,258.9889862318424,0.036718993966809534,42.61767113318642,0.041791475277708455,17.402050938271778,0.042981714554034704,-41.70620992577586,27.183084243413756,14.569155,2.772852,,,"NOT_AVAILABLE",3890.1602,
