source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,phot_g_mean_mag,bp_rp,radial_velocity,radial_velocity_error,phot_variable_flag,teff_val,a_g_val
4421572078508926592,229.65410264576758,0.7627351150483641,2.0601800532070214,0.40211569542763664,,,17.161692,0.90278053,,,"NOT_AVAILABLE",,
4421573281096750592,229.60637664289362,1.608252069583309,2.1148583072144715,0.7206465409291286,,,19.35982,0.46569252,,,"NOT_AVAILABLE",,
4421572486530312448,229.6802820792618,0.06009795280336426,2.0889528633802468,0.06552660712355363,0.30502418190006736,0.0868499164839411,16.082558,-0.045855522,,,"NOT_AVAILABLE",9537.25,
4421572490821268224,229.67695454298592,0.5010830644115285,2.077744783554875,0.4862365502014824,2.596675732512947,0.5403919541968949,18.716938,0.67193604,,,"NOT_AVAILABLE",,
4421571769266347776,229.6558015023339,1.1471415752362626,2.038176337829168,0.547612994491103,,,18.842928,0.71100235,,,"NOT_AVAILABLE",,
4421571769266347648,229.65542216952417,12.378566261408944,2.0379968208187904,9.567966279042015,,,20.410576,,,,"NOT_AVAILABLE",,
4421573418535326336,229.64832751377924,0.2102116478544908,2.116447500527001,0.16560682140578722,0.024712272096947943,0.21155951000536818,18.526974,0.49495697,,,"NOT_AVAILABLE",,
4421572868783116160,229.61965015095785,0.06680707575929114,2.0824029180549326,0.07595971477218513,-0.442135506807864,0.09331606804119497,15.987098,,,,"NOT_AVAILABLE",,
4421573074940323840,229.6042160017425,13.839741060031294,2.085005618780428,23.51246028579798,,,18.48715,0.71689606,,,"NOT_AVAILABLE",,
4421478173339920000,229.6124725949161,17.629816204250254,2.048606909065815,29.990742046157767,,,19.24019,,,,"NOT_AVAILABLE",,
4421478104619816704,229.6255302632507,0.2684156233792171,2.0404901588452162,0.16597052722433114,0.36046687492146023,0.21804079636718035,18.344904,0.62841034,,,"NOT_AVAILABLE",,
